Zona;Latitudine;Longitudine;Orario;Volume Traffico;Velocità Media (km/h);Eventuali Rallentamenti;PM10 (μg/m³);NO2 (μg/m³);O3 (μg/m³);AQI;Bus
p.za venezia;41.901.745;12.500.448;08:00-09:00;967;20;Elevati;25;26;43;31;916f
p.za venezia;41.901.745;12.500.448;12:00-13:00;302;30;Moderati;34;31;43;36;916f
p.za venezia;41.901.745;12.500.448;18:00-19:00;820;22;Elevati;39;25;49;37;916f
anagnina (ma);4.178.587.617.768.700;12.575.365.802.047.000;08:00-09:00;792;19;Elevati;21;39;36;32;559
anagnina (ma);4.178.587.617.768.700;12.575.365.802.047.000;12:00-13:00;380;37;Moderati;29;28;36;31;559
anagnina (ma);4.178.587.617.768.700;12.575.365.802.047.000;18:00-19:00;761;24;Elevati;20;38;32;30;559
tor vergata;41.902.067;12.499.590;08:00-09:00;711;16;Elevati;27;33;46;35;46
tor vergata;41.902.067;12.499.590;12:00-13:00;481;33;Moderati;22;30;40;30;46
tor vergata;41.902.067;12.499.590;18:00-19:00;720;21;Elevati;23;33;39;31;46
la romanina (circolare dx);41.917.523;12.455.418;08:00-09:00;764;19;Elevati;21;26;33;26;46
la romanina (circolare dx);41.917.523;12.455.418;12:00-13:00;447;36;Moderati;37;26;30;31;46
la romanina (circolare dx);41.917.523;12.455.418;18:00-19:00;851;15;Elevati;21;29;47;32;46
torresina;4.191.330.359.872.830;12.325.205.155.751.900;08:00-09:00;775;18;Elevati;33;27;37;32;46b
torresina;4.191.330.359.872.830;12.325.205.155.751.900;12:00-13:00;388;38;Moderati;22;28;37;29;46b
torresina;4.191.330.359.872.830;12.325.205.155.751.900;18:00-19:00;816;17;Elevati;24;31;48;34;46b
battistini (ma);41.901.967;12.499.752;08:00-09:00;820;22;Elevati;37;28;48;37;91
battistini (ma);41.901.967;12.499.752;12:00-13:00;369;38;Moderati;25;38;42;35;91
battistini (ma);41.901.967;12.499.752;18:00-19:00;888;18;Elevati;25;30;44;33;91
anagnina (ma);4.197.001.471.331.500;12.245.113.249.928.400;08:00-09:00;938;15;Elevati;26;39;47;37;559
anagnina (ma);4.197.001.471.331.500;12.245.113.249.928.400;12:00-13:00;373;38;Moderati;33;26;49;36;559
anagnina (ma);4.197.001.471.331.500;12.245.113.249.928.400;18:00-19:00;818;18;Elevati;25;29;31;28;559
la romanina;41.957.986.836.951.000;12.262.204.652.171.200;08:00-09:00;870;24;Elevati;29;29;39;32;47
la romanina;41.957.986.836.951.000;12.262.204.652.171.200;12:00-13:00;386;38;Moderati;34;39;32;35;47
la romanina;41.957.986.836.951.000;12.262.204.652.171.200;18:00-19:00;877;22;Elevati;20;27;48;31;47
tor vergata (circolare sx);41.917.218;12.455.088;08:00-09:00;909;23;Elevati;38;28;47;37;47
tor vergata (circolare sx);41.917.218;12.455.088;12:00-13:00;491;35;Moderati;26;28;47;33;47
tor vergata (circolare sx);41.917.218;12.455.088;18:00-19:00;905;21;Elevati;31;33;48;37;47
osp. s. filippo neri;4.178.054.813.403.200;12.252.113.935.165.100;08:00-09:00;811;21;Elevati;27;37;38;34;49
osp. s. filippo neri;4.178.054.813.403.200;12.252.113.935.165.100;12:00-13:00;304;39;Moderati;32;36;40;36;49
osp. s. filippo neri;4.178.054.813.403.200;12.252.113.935.165.100;18:00-19:00;876;20;Elevati;38;25;30;31;49
p.za cavour;418.491.550.784.265;12.251.572.527.008.400;08:00-09:00;807;16;Elevati;36;25;30;30;990
p.za cavour;418.491.550.784.265;12.251.572.527.008.400;12:00-13:00;307;36;Moderati;29;29;44;34;990
p.za cavour;418.491.550.784.265;12.251.572.527.008.400;18:00-19:00;907;18;Elevati;25;26;41;30;990
circolare san giovanni (ma-mc);41.842.970;12.584.973;08:00-09:00;710;15;Elevati;22;38;32;30;51
circolare san giovanni (ma-mc);41.842.970;12.584.973;12:00-13:00;382;31;Moderati;21;26;30;25;51
circolare san giovanni (ma-mc);41.842.970;12.584.973;18:00-19:00;779;23;Elevati;30;39;39;36;51
colosseo (mb);4.197.825.976.442.190;12.561.090.619.384.500;08:00-09:00;781;16;Elevati;38;30;34;34;117
colosseo (mb);4.197.825.976.442.190;12.561.090.619.384.500;12:00-13:00;486;30;Moderati;20;37;42;33;117
colosseo (mb);4.197.825.976.442.190;12.561.090.619.384.500;18:00-19:00;870;16;Elevati;37;27;47;37;117
l.go chigi;41.917.523;12.455.287;08:00-09:00;769;24;Elevati;24;27;45;32;53
l.go chigi;41.917.523;12.455.287;12:00-13:00;419;30;Moderati;35;34;42;37;53
l.go chigi;41.917.523;12.455.287;18:00-19:00;998;16;Elevati;31;34;42;35;53
circolare auditorium;41.842.267;12.586.298;08:00-09:00;756;20;Elevati;32;25;36;31;52
circolare auditorium;41.842.267;12.586.298;12:00-13:00;412;37;Moderati;22;27;49;32;52
circolare auditorium;41.842.267;12.586.298;18:00-19:00;880;18;Elevati;29;30;30;29;52
l.go chigi;4.170.629.845.783.950;12.361.987.357.889.900;08:00-09:00;771;19;Elevati;39;27;36;34;53
l.go chigi;4.170.629.845.783.950;12.361.987.357.889.900;12:00-13:00;477;36;Moderati;36;34;31;33;53
l.go chigi;4.170.629.845.783.950;12.361.987.357.889.900;18:00-19:00;736;15;Elevati;22;31;33;28;53
circolare pantano (mc);41.842.350;12.586.330;08:00-09:00;877;16;Elevati;26;35;34;31;52
circolare pantano (mc);41.842.350;12.586.330;12:00-13:00;445;31;Moderati;38;25;41;34;52
circolare pantano (mc);41.842.350;12.586.330;18:00-19:00;933;17;Elevati;38;38;47;41;52
q.re finocchio;4.198.613.124.109.930;12.537.657.316.298.700;08:00-09:00;847;15;Elevati;22;32;39;31;52
q.re finocchio;4.198.613.124.109.930;12.537.657.316.298.700;12:00-13:00;474;38;Moderati;26;27;45;32;52
q.re finocchio;4.198.613.124.109.930;12.537.657.316.298.700;18:00-19:00;763;22;Elevati;33;37;43;37;52
circolare p.za mancini;41.842.463;12.585.805;08:00-09:00;779;21;Elevati;37;28;48;37;53
circolare p.za mancini;41.842.463;12.585.805;12:00-13:00;310;37;Moderati;31;34;42;35;53
circolare p.za mancini;41.842.463;12.585.805;18:00-19:00;874;15;Elevati;28;30;47;35;53
l.go chigi;41.864.275;12.626.225;08:00-09:00;797;22;Elevati;27;35;32;31;53
l.go chigi;41.864.275;12.626.225;12:00-13:00;329;38;Moderati;39;29;38;35;53
l.go chigi;41.864.275;12.626.225;18:00-19:00;943;21;Elevati;29;36;35;33;53
ponte mammolo (mb);41.842.420;12.587.172;08:00-09:00;794;19;Elevati;33;27;47;35;508
ponte mammolo (mb);41.842.420;12.587.172;12:00-13:00;309;39;Moderati;35;26;49;36;508
ponte mammolo (mb);41.842.420;12.587.172;18:00-19:00;843;20;Elevati;38;33;35;35;508
tor sapienza (fl2);41.864.273;12.626.102;08:00-09:00;939;17;Elevati;38;34;40;37;58
tor sapienza (fl2);41.864.273;12.626.102;12:00-13:00;439;36;Moderati;36;32;30;32;58
tor sapienza (fl2);41.864.273;12.626.102;18:00-19:00;703;22;Elevati;29;35;43;35;58
facoltà medicina tor vergata;41.918.040;12.456.313;08:00-09:00;919;18;Elevati;39;38;33;36;58
facoltà medicina tor vergata;41.918.040;12.456.313;12:00-13:00;394;35;Moderati;31;34;39;34;58
facoltà medicina tor vergata;41.918.040;12.456.313;18:00-19:00;792;20;Elevati;29;30;43;34;58
tor sapienza;41.842.273;12.587.483;08:00-09:00;767;24;Elevati;35;34;49;39;113
tor sapienza;41.842.273;12.587.483;12:00-13:00;474;36;Moderati;22;35;49;35;113
tor sapienza;41.842.273;12.587.483;18:00-19:00;970;15;Elevati;34;39;43;38;113
grotte celoni (mc);4.175.702.454.677.260;12.309.083.117.314.600;08:00-09:00;972;20;Elevati;33;33;34;33;507
grotte celoni (mc);4.175.702.454.677.260;12.309.083.117.314.600;12:00-13:00;430;33;Moderati;29;37;49;38;507
grotte celoni (mc);4.175.702.454.677.260;12.309.083.117.314.600;18:00-19:00;910;22;Elevati;28;33;39;33;507
montesacro alto;41.842.225;12.587.555;08:00-09:00;951;22;Elevati;39;29;39;35;69
montesacro alto;41.842.225;12.587.555;12:00-13:00;331;33;Moderati;36;32;47;38;69
montesacro alto;41.842.225;12.587.555;18:00-19:00;967;21;Elevati;34;26;36;32;69
p.za venezia;41.947.650.873.733.800;12.303.595.079.964.600;08:00-09:00;770;16;Elevati;36;31;45;37;916f
p.za venezia;41.947.650.873.733.800;12.303.595.079.964.600;12:00-13:00;389;31;Moderati;28;35;46;36;916f
p.za venezia;41.947.650.873.733.800;12.303.595.079.964.600;18:00-19:00;942;15;Elevati;34;29;36;33;916f
q.re collatino;41.842.363;12.587.308;08:00-09:00;908;24;Elevati;21;33;35;29;319
q.re collatino;41.842.363;12.587.308;12:00-13:00;448;34;Moderati;23;28;36;29;319
q.re collatino;41.842.363;12.587.308;18:00-19:00;854;17;Elevati;22;36;34;30;319
bologna (mb);419.865.103.992.178;12.472.273.703.162.100;08:00-09:00;865;22;Elevati;20;25;41;28;309
bologna (mb);419.865.103.992.178;12.472.273.703.162.100;12:00-13:00;325;36;Moderati;35;36;32;34;309
bologna (mb);419.865.103.992.178;12.472.273.703.162.100;18:00-19:00;715;19;Elevati;39;26;42;35;309
flaminio (ma-rv);41.917.218;12.455.088;08:00-09:00;727;19;Elevati;27;33;47;35;160
flaminio (ma-rv);41.917.218;12.455.088;12:00-13:00;349;34;Moderati;38;31;47;38;160
flaminio (ma-rv);41.917.218;12.455.088;18:00-19:00;908;21;Elevati;22;28;39;29;160
tiburtina (mb-fs);41.842.390;12.587.238;08:00-09:00;961;21;Elevati;26;29;41;32;649
tiburtina (mb-fs);41.842.390;12.587.238;12:00-13:00;372;32;Moderati;20;32;30;27;649
tiburtina (mb-fs);41.842.390;12.587.238;18:00-19:00;815;18;Elevati;38;33;44;38;649
castel sant'angelo;4.185.340.455.402.180;12.287.999.467.758.800;08:00-09:00;800;19;Elevati;32;39;47;39;62
castel sant'angelo;4.185.340.455.402.180;12.287.999.467.758.800;12:00-13:00;467;35;Moderati;31;30;35;32;62
castel sant'angelo;4.185.340.455.402.180;12.287.999.467.758.800;18:00-19:00;866;18;Elevati;39;28;39;35;62
estiva litorale di ostia;41.842.312;12.587.400;08:00-09:00;864;16;Elevati;35;27;39;33;62
estiva litorale di ostia;41.842.312;12.587.400;12:00-13:00;372;32;Moderati;21;31;49;33;62
estiva litorale di ostia;41.842.312;12.587.400;18:00-19:00;754;22;Elevati;39;31;31;33;62
circolare acilia (rl);41.842.458;12.587.108;08:00-09:00;934;24;Elevati;36;28;33;32;63
circolare acilia (rl);41.842.458;12.587.108;12:00-13:00;409;32;Moderati;38;25;46;36;63
circolare acilia (rl);41.842.458;12.587.108;18:00-19:00;789;20;Elevati;20;36;45;33;63
dragoncello;4.192.112.859.810.320;12.530.153.178.713.800;08:00-09:00;797;19;Elevati;39;31;40;36;63
dragoncello;4.192.112.859.810.320;12.530.153.178.713.800;12:00-13:00;357;32;Moderati;34;30;48;37;63
dragoncello;4.192.112.859.810.320;12.530.153.178.713.800;18:00-19:00;767;20;Elevati;23;29;42;31;63
dragona;41.917.460;12.455.525;08:00-09:00;957;19;Elevati;24;32;48;34;63
dragona;41.917.460;12.455.525;12:00-13:00;426;30;Moderati;30;28;45;34;63
dragona;41.917.460;12.455.525;18:00-19:00;750;22;Elevati;22;30;37;29;63
bagnoletto;41.787.800;12.322.745;08:00-09:00;970;24;Elevati;24;34;44;34;63
bagnoletto;41.787.800;12.322.745;12:00-13:00;352;33;Moderati;39;28;43;36;63
bagnoletto;41.787.800;12.322.745;18:00-19:00;778;20;Elevati;21;30;43;31;63
montesacro alto;41.842.970;12.584.973;08:00-09:00;860;19;Elevati;24;38;32;31;69
montesacro alto;41.842.970;12.584.973;12:00-13:00;447;39;Moderati;36;34;31;33;69
montesacro alto;41.842.970;12.584.973;18:00-19:00;760;21;Elevati;30;39;41;36;69
p.za monte savello;41.859.920.689.447.900;1.241.556.495.593.210;08:00-09:00;882;19;Elevati;22;25;44;30;63
p.za monte savello;41.859.920.689.447.900;1.241.556.495.593.210;12:00-13:00;494;36;Moderati;34;33;32;33;63
p.za monte savello;41.859.920.689.447.900;1.241.556.495.593.210;18:00-19:00;949;23;Elevati;38;26;34;32;63
termini (ma-mb-fs);41.842.267;12.586.298;08:00-09:00;866;21;Elevati;36;32;32;33;714
termini (ma-mb-fs);41.842.267;12.586.298;12:00-13:00;382;32;Moderati;32;37;30;33;714
termini (ma-mb-fs);41.842.267;12.586.298;18:00-19:00;774;15;Elevati;30;28;41;33;714
san pietro (fs);4.178.075.121.368.490;12.521.496.960.098.500;08:00-09:00;818;16;Elevati;25;38;46;36;64
san pietro (fs);4.178.075.121.368.490;12.521.496.960.098.500;12:00-13:00;435;32;Moderati;34;31;39;34;64
san pietro (fs);4.178.075.121.368.490;12.521.496.960.098.500;18:00-19:00;986;22;Elevati;21;34;42;32;64
infernetto;41.842.350;12.586.330;08:00-09:00;872;16;Elevati;38;35;40;37;70
infernetto;41.842.350;12.586.330;12:00-13:00;330;38;Moderati;32;29;44;35;70
infernetto;41.842.350;12.586.330;18:00-19:00;716;15;Elevati;27;36;35;32;70
acilia (rl);4.174.977.994.276.240;12.256.753.826.741.900;08:00-09:00;779;16;Elevati;34;30;34;32;65
acilia (rl);4.174.977.994.276.240;12.256.753.826.741.900;12:00-13:00;320;32;Moderati;27;30;46;34;65
acilia (rl);4.174.977.994.276.240;12.256.753.826.741.900;18:00-19:00;789;19;Elevati;20;31;40;30;65
termini (ma-mb-fs);41.842.463;12.585.805;08:00-09:00;890;15;Elevati;38;38;44;40;714
termini (ma-mb-fs);41.842.463;12.585.805;12:00-13:00;362;32;Moderati;28;26;35;29;714
termini (ma-mb-fs);41.842.463;12.585.805;18:00-19:00;965;20;Elevati;26;26;40;30;714
v.le marx;4.172.206.233.937.170;12.591.992.221.606.300;08:00-09:00;994;24;Elevati;39;28;49;38;66
v.le marx;4.172.206.233.937.170;12.591.992.221.606.300;12:00-13:00;489;34;Moderati;26;34;46;35;66
v.le marx;4.172.206.233.937.170;12.591.992.221.606.300;18:00-19:00;991;22;Elevati;35;34;45;38;66
montesacro alto;41.842.420;12.587.172;08:00-09:00;836;18;Elevati;33;25;45;34;69
montesacro alto;41.842.420;12.587.172;12:00-13:00;422;33;Moderati;30;29;35;31;69
montesacro alto;41.842.420;12.587.172;18:00-19:00;754;15;Elevati;37;37;32;35;69
p.le clodio;41.977.993;12.530.788;08:00-09:00;750;16;Elevati;27;38;49;38;89
p.le clodio;41.977.993;12.530.788;12:00-13:00;469;33;Moderati;31;34;34;33;89
p.le clodio;41.977.993;12.530.788;18:00-19:00;747;19;Elevati;34;37;42;37;89
eur fermi (mb);41.842.273;12.587.483;08:00-09:00;760;23;Elevati;28;29;34;30;712
eur fermi (mb);41.842.273;12.587.483;12:00-13:00;490;32;Moderati;33;35;42;36;712
eur fermi (mb);41.842.273;12.587.483;18:00-19:00;921;23;Elevati;21;28;33;27;712
infernetto;41.977.818;12.529.968;08:00-09:00;837;20;Elevati;39;35;34;36;70
infernetto;41.977.818;12.529.968;12:00-13:00;318;33;Moderati;33;36;39;36;70
infernetto;41.977.818;12.529.968;18:00-19:00;832;23;Elevati;28;36;30;31;70
c.colombo (rl);4.187.587.377.353.380;12.364.604.000.163.400;08:00-09:00;983;19;Elevati;30;33;35;32;70
c.colombo (rl);4.187.587.377.353.380;12.364.604.000.163.400;12:00-13:00;453;32;Moderati;32;34;49;38;70
c.colombo (rl);4.187.587.377.353.380;12.364.604.000.163.400;18:00-19:00;759;20;Elevati;25;33;39;32;70
p.le clodio;41.842.225;12.587.555;08:00-09:00;926;19;Elevati;25;35;46;35;89
p.le clodio;41.842.225;12.587.555;12:00-13:00;361;39;Moderati;32;36;41;36;89
p.le clodio;41.842.225;12.587.555;18:00-19:00;965;21;Elevati;26;34;36;32;89
termini laziali (rg);4.175.225.386.450.330;12.582.496.030.864.100;08:00-09:00;880;24;Elevati;23;29;44;32;70
termini laziali (rg);4.175.225.386.450.330;12.582.496.030.864.100;12:00-13:00;373;38;Moderati;33;35;42;36;70
termini laziali (rg);4.175.225.386.450.330;12.582.496.030.864.100;18:00-19:00;937;18;Elevati;22;30;45;32;70
circolare tiburtina (mb-fs);41.842.363;12.587.308;08:00-09:00;892;18;Elevati;24;39;46;36;111f
circolare tiburtina (mb-fs);41.842.363;12.587.308;12:00-13:00;421;38;Moderati;35;32;47;38;111f
circolare tiburtina (mb-fs);41.842.363;12.587.308;18:00-19:00;788;16;Elevati;23;28;42;31;111f
p.za chigi;41.785.698.031.741.900;12.503.515.019.014.700;08:00-09:00;899;17;Elevati;26;27;44;32;71
p.za chigi;41.785.698.031.741.900;12.503.515.019.014.700;12:00-13:00;366;37;Moderati;39;27;48;38;71
p.za chigi;41.785.698.031.741.900;12.503.515.019.014.700;18:00-19:00;762;21;Elevati;21;39;44;34;71
circolare fonte laurentina;41.842.390;12.587.238;08:00-09:00;793;15;Elevati;26;30;33;29;71
circolare fonte laurentina;41.842.390;12.587.238;12:00-13:00;474;38;Moderati;21;26;40;29;71
circolare fonte laurentina;41.842.390;12.587.238;18:00-19:00;826;15;Elevati;35;27;41;34;71
vallerano;41.893.100;12.481.387;08:00-09:00;833;21;Elevati;35;25;44;34;731
vallerano;41.893.100;12.481.387;12:00-13:00;321;31;Moderati;34;32;42;36;731
vallerano;41.893.100;12.481.387;18:00-19:00;704;16;Elevati;21;33;46;33;731
spinaceto;41.778.820.131.561.700;12.371.039.390.850.600;08:00-09:00;757;21;Elevati;39;37;41;39;731
spinaceto;41.778.820.131.561.700;12.371.039.390.850.600;12:00-13:00;442;35;Moderati;33;33;47;37;731
spinaceto;41.778.820.131.561.700;12.371.039.390.850.600;18:00-19:00;755;15;Elevati;35;36;49;40;731
laurentina;41.842.312;12.587.400;08:00-09:00;769;21;Elevati;34;27;34;31;672
laurentina;41.842.312;12.587.400;12:00-13:00;479;38;Moderati;37;32;33;34;672
laurentina;41.842.312;12.587.400;18:00-19:00;930;22;Elevati;38;25;31;31;672
campus biomedico (h);41.893.318;12.481.618;08:00-09:00;972;23;Elevati;33;39;42;38;731
campus biomedico (h);41.893.318;12.481.618;12:00-13:00;455;39;Moderati;23;25;45;31;731
campus biomedico (h);41.893.318;12.481.618;18:00-19:00;775;18;Elevati;28;29;38;31;731
trigoria;4.197.773.863.012.530;12.339.301.543.141.000;08:00-09:00;838;21;Elevati;32;26;47;35;731
trigoria;4.197.773.863.012.530;12.339.301.543.141.000;12:00-13:00;400;33;Moderati;39;32;45;38;731
trigoria;4.197.773.863.012.530;12.339.301.543.141.000;18:00-19:00;703;17;Elevati;25;38;42;35;731
fonte laurentina;41.842.458;12.587.108;08:00-09:00;822;24;Elevati;20;31;42;31;788
fonte laurentina;41.842.458;12.587.108;12:00-13:00;380;32;Moderati;34;28;33;31;788
fonte laurentina;41.842.458;12.587.108;18:00-19:00;711;21;Elevati;25;27;34;28;788
colle dei pini;41.862.195;12.646.265;08:00-09:00;736;22;Elevati;33;35;41;36;73
colle dei pini;41.862.195;12.646.265;12:00-13:00;344;37;Moderati;38;39;34;37;73
colle dei pini;41.862.195;12.646.265;18:00-19:00;922;18;Elevati;34;36;31;33;73
monte migliore;4.173.565.456.619.700;12.583.979.209.737.300;08:00-09:00;962;16;Elevati;28;32;34;31;73
monte migliore;4.173.565.456.619.700;12.583.979.209.737.300;12:00-13:00;358;31;Moderati;23;25;48;32;73
monte migliore;4.173.565.456.619.700;12.583.979.209.737.300;18:00-19:00;826;18;Elevati;31;33;32;32;73
via strampelli;4.175.659.752.556.640;12.335.728.437.001.800;08:00-09:00;953;17;Elevati;28;33;47;36;73
via strampelli;4.175.659.752.556.640;12.335.728.437.001.800;12:00-13:00;471;31;Moderati;26;25;47;32;73
via strampelli;4.175.659.752.556.640;12.335.728.437.001.800;18:00-19:00;783;21;Elevati;39;29;31;33;73
eur agricoltura;4.185.147.787.037.290;12.355.702.139.579.300;08:00-09:00;801;23;Elevati;36;34;42;37;788
eur agricoltura;4.185.147.787.037.290;12.355.702.139.579.300;12:00-13:00;382;39;Moderati;37;29;34;33;788
eur agricoltura;4.185.147.787.037.290;12.355.702.139.579.300;18:00-19:00;911;16;Elevati;39;31;33;34;788
fonte laurentina;41.862.310;12.645.568;08:00-09:00;961;20;Elevati;23;35;43;33;788
fonte laurentina;41.862.310;12.645.568;12:00-13:00;478;32;Moderati;38;30;34;34;788
fonte laurentina;41.862.310;12.645.568;18:00-19:00;722;15;Elevati;36;25;49;36;788
trigoria;4.197.886.515.961.320;12.287.727.962.286.700;08:00-09:00;904;20;Elevati;23;39;31;31;731
trigoria;4.197.886.515.961.320;12.287.727.962.286.700;12:00-13:00;330;38;Moderati;39;32;37;36;731
trigoria;4.197.886.515.961.320;12.287.727.962.286.700;18:00-19:00;773;22;Elevati;21;35;48;34;731
laurentina (mb);4.189.037.036.394.210;12.491.875.879.145.600;08:00-09:00;827;15;Elevati;25;33;33;30;772
laurentina (mb);4.189.037.036.394.210;12.491.875.879.145.600;12:00-13:00;304;30;Moderati;36;37;43;38;772
laurentina (mb);4.189.037.036.394.210;12.491.875.879.145.600;18:00-19:00;794;21;Elevati;35;29;47;37;772
fonte laurentina;41.861.997;12.646.415;08:00-09:00;752;15;Elevati;23;25;49;32;788
fonte laurentina;41.861.997;12.646.415;12:00-13:00;462;37;Moderati;38;38;40;38;788
fonte laurentina;41.861.997;12.646.415;18:00-19:00;849;20;Elevati;27;33;36;32;788
fonte laurentina;41.883.595;12.333.002;08:00-09:00;813;23;Elevati;27;25;34;28;788
fonte laurentina;41.883.595;12.333.002;12:00-13:00;317;31;Moderati;26;36;41;34;788
fonte laurentina;41.883.595;12.333.002;18:00-19:00;814;18;Elevati;34;29;49;37;788
castel di leva;41.861.830;12.646.523;08:00-09:00;714;16;Elevati;39;30;45;38;74
castel di leva;41.861.830;12.646.523;12:00-13:00;484;37;Moderati;28;39;34;33;74
castel di leva;41.861.830;12.646.523;18:00-19:00;743;20;Elevati;27;28;40;31;74
divino amore;41.819.689.164.348.200;1.243.137.328.156.340;08:00-09:00;897;20;Elevati;34;33;40;35;74
divino amore;41.819.689.164.348.200;1.243.137.328.156.340;12:00-13:00;461;31;Moderati;20;27;37;28;74
divino amore;41.819.689.164.348.200;1.243.137.328.156.340;18:00-19:00;947;19;Elevati;36;37;36;36;74
ardeatina;41.994.042.468.540.700;12.433.826.388.545.500;08:00-09:00;918;18;Elevati;22;28;45;31;74
ardeatina;41.994.042.468.540.700;12.433.826.388.545.500;12:00-13:00;359;30;Moderati;24;36;45;35;74
ardeatina;41.994.042.468.540.700;12.433.826.388.545.500;18:00-19:00;759;24;Elevati;35;34;35;34;74
santa palomba;4.192.106.267.240.680;12.480.213.247.477.300;08:00-09:00;922;22;Elevati;28;28;33;29;74
santa palomba;4.192.106.267.240.680;12.480.213.247.477.300;12:00-13:00;318;32;Moderati;32;28;43;34;74
santa palomba;4.192.106.267.240.680;12.480.213.247.477.300;18:00-19:00;897;23;Elevati;34;34;42;36;74
p.za indipendenza;41.883.642;12.332.918;08:00-09:00;970;21;Elevati;33;39;35;35;910
p.za indipendenza;41.883.642;12.332.918;12:00-13:00;437;35;Moderati;22;32;34;29;910
p.za indipendenza;41.883.642;12.332.918;18:00-19:00;775;23;Elevati;21;34;30;28;910
trastevere;41.861.742;12.646.587;08:00-09:00;922;15;Elevati;29;31;31;30;280
trastevere;41.861.742;12.646.587;12:00-13:00;402;31;Moderati;21;27;40;29;280
trastevere;41.861.742;12.646.587;18:00-19:00;780;19;Elevati;37;37;47;40;280
ponte mammolo (mb);417.977.079.397.297;1.226.274.912.395.060;08:00-09:00;849;16;Elevati;24;39;32;31;508
ponte mammolo (mb);417.977.079.397.297;1.226.274.912.395.060;12:00-13:00;321;31;Moderati;31;32;44;35;508
ponte mammolo (mb);417.977.079.397.297;1.226.274.912.395.060;18:00-19:00;770;21;Elevati;22;38;33;31;508
ponte di nona;41.861.645;12.646.640;08:00-09:00;897;20;Elevati;32;30;32;31;75
ponte di nona;41.861.645;12.646.640;12:00-13:00;492;31;Moderati;21;36;41;32;75
ponte di nona;41.861.645;12.646.640;18:00-19:00;778;20;Elevati;27;33;45;35;75
ostiense (mb-rl-fs);41.826.872;12.480.737;08:00-09:00;707;22;Elevati;21;36;39;32;769
ostiense (mb-rl-fs);41.826.872;12.480.737;12:00-13:00;319;36;Moderati;27;36;45;36;769
ostiense (mb-rl-fs);41.826.872;12.480.737;18:00-19:00;999;15;Elevati;29;31;30;30;769
san giovanni (ma-mc);41.861.527;12.646.710;08:00-09:00;737;16;Elevati;25;25;44;31;792
san giovanni (ma-mc);41.861.527;12.646.710;12:00-13:00;452;39;Moderati;27;26;43;32;792
san giovanni (ma-mc);41.861.527;12.646.710;18:00-19:00;910;23;Elevati;30;30;39;33;792
porta di roma;41.827.172;12.480.322;08:00-09:00;789;15;Elevati;33;35;45;37;435
porta di roma;41.827.172;12.480.322;12:00-13:00;449;32;Moderati;27;33;34;31;435
porta di roma;41.827.172;12.480.322;18:00-19:00;803;16;Elevati;36;37;37;36;435
p.za venezia;418.619.244.998.397;126.463.855.057.837;08:00-09:00;869;23;Elevati;33;28;39;33;916f
p.za venezia;418.619.244.998.397;126.463.855.057.837;12:00-13:00;343;33;Moderati;31;29;34;31;916f
p.za venezia;418.619.244.998.397;126.463.855.057.837;18:00-19:00;969;23;Elevati;36;34;32;34;916f
p.za risorgimento;41.827.040;12.480.203;08:00-09:00;997;19;Elevati;25;35;40;33;590
p.za risorgimento;41.827.040;12.480.203;12:00-13:00;316;34;Moderati;39;33;38;36;590
p.za risorgimento;41.827.040;12.480.203;18:00-19:00;851;18;Elevati;20;27;48;31;590
malatesta (mc);41.896.738;12.483.128;08:00-09:00;935;17;Elevati;28;37;42;35;81
malatesta (mc);41.896.738;12.483.128;12:00-13:00;402;34;Moderati;26;38;35;33;81
malatesta (mc);41.896.738;12.483.128;18:00-19:00;760;22;Elevati;38;29;30;32;81
circolare termini (ma-mb-fs);41.826.627;12.481.252;08:00-09:00;902;17;Elevati;34;29;34;32;82
circolare termini (ma-mb-fs);41.826.627;12.481.252;12:00-13:00;358;38;Moderati;23;34;49;35;82
circolare termini (ma-mb-fs);41.826.627;12.481.252;18:00-19:00;971;22;Elevati;21;30;44;31;82
montesacro;41.894.908;12.481.805;08:00-09:00;977;19;Elevati;33;27;48;36;83
montesacro;41.894.908;12.481.805;12:00-13:00;345;30;Moderati;33;39;38;36;83
montesacro;41.894.908;12.481.805;18:00-19:00;943;24;Elevati;29;39;38;35;83
ostiense (mb-rl-fs);41.826.667;12.481.105;08:00-09:00;816;19;Elevati;35;31;36;34;769
ostiense (mb-rl-fs);41.826.667;12.481.105;12:00-13:00;412;32;Moderati;39;26;47;37;769
ostiense (mb-rl-fs);41.826.667;12.481.105;18:00-19:00;867;18;Elevati;25;32;39;32;769
montesacro;41.894.957;12.481.765;08:00-09:00;873;15;Elevati;23;25;39;29;83
montesacro;41.894.957;12.481.765;12:00-13:00;481;35;Moderati;35;34;31;33;83
montesacro;41.894.957;12.481.765;18:00-19:00;820;16;Elevati;31;35;33;33;83
arco di travertino (ma);41.826.545;12.481.610;08:00-09:00;894;15;Elevati;28;25;32;28;765
arco di travertino (ma);41.826.545;12.481.610;12:00-13:00;498;31;Moderati;35;27;49;37;765
arco di travertino (ma);41.826.545;12.481.610;18:00-19:00;937;22;Elevati;28;36;30;31;765
termini (ma-mb-fs);41.894.840;12.481.867;08:00-09:00;886;20;Elevati;27;36;42;35;714
termini (ma-mb-fs);41.894.840;12.481.867;12:00-13:00;465;35;Moderati;35;36;42;37;714
